# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-10-22
# See end of file for additional documentation on specific fields
# Sort	Month	Day	Year	Cyto Location	Gene Symbols	Confidence (deprecated)	Gene Name	MIM Number	Mapping Method	Comments	Phenotypes	Mouse Gene Symbol
1.1	5	13	13	1pter-p36.13	CTRCT8, CCV		Cataract, congenital, Volkmann type	115665	Fd	linked to Rh in Scottish family	Cataract 8, multiple types (2)	
1.2	9	25	01	1p36.23	ENO1, PPH, MPB1		Enolase-1, alpha	172430	S, F, R, REa		Enolase deficiency (1)	4(Eno1)
1.3	12	22	87	1pter-p36	ERPL1, HLM2		Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2)	131190	REa, F			
1.4	4	14	11	1p36.11	HMGCL		3-hydroxy-3-methylglutaryl-Coenzyme A lyase	613898	REa, A		HMG-CoA lyase deficiency, 246450 (3)	4(Hmgcl)
1.5	4	30	15	1p36.33	AGRN, CMS8		Agrin	103320	REa		Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3)	4(Agrn)
1.6	6	24	16	1p36.33	GNB1, MRD42		Guanine nucleotide-binding protein, beta polypeptide-1	139380	REa, A		Mental retardation, autosomal dominant 42, 616973 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3)	4(Gnb1)
1.7	10	2	07	1p35.2	SDC3, SYND3, SDCN		Syndecan 3	186357	REc, R, H		{Obesity, association with}, 601665 (3)	4(Synd3)
1.8	8	28	98	1pter-p22.1	SAI1, MTS1, TFS1		Suppression of anchorage independence-1 (malignant transformation suppression-1)	154280	S, H			4(Tfs1)
1.9	12	6	16	1p36.33	ATAD3A, HAYOS		ATPase family, AAA domain-containing, member 3A	612316	REc	one family with AR inheritance reported	Harel-Yoon syndrome, 617183 (3)	4(Atad3)
1.10	10	6	08	1p36.33	ATAD3B, TOB3, KIAA1273		ATPase family, AAA domain-containing, member 3B	612317	R, REc			
